Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1058,216000.0,RL,,10.3075850592,Pave,,IR2,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,343.0,216.0,7928215784.0,7928215784.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,595.0,Unf,0.0,54010152.0,973.0,GasA,Ex,Y,SBrkr,31.2889756943,660776311.0,0.0,43.0116263352,0.0,1.0,4.0,1.0,9.0,1.0,Gd,7.0,Typ,1.0,Gd,BuiltIn,7928215784.0,Fin,4.0,467.0,TA,TA,Y,12.9614813968,4.61043629206,0.0,0.0,0.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,248000
200,8000.0,RL,8.71779788708,9.16858043773,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,512.0,125.0,8048096064.0,8060150125.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,262.0,Gd,TA,PConc,Ex,TA,Av,GLQ,1088.0,Unf,0.0,244140625.0,1713.0,GasA,Ex,Y,SBrkr,41.3884041731,0.0,0.0,41.3884041731,1.0,1.0,4.0,0.0,9.0,1.0,Ex,7.0,Typ,1.0,Gd,Attchd,8048096064.0,Fin,9.0,856.0,TA,TA,Y,0.0,2.96249606841,0.0,0.0,170.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,274900
293,125000.0,RL,7.74596669241,9.3421577966,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,125.0,64.0,7403473349.0,8096384512.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,TA,No,LwQ,292.0,Unf,0.0,107850176.0,768.0,GasA,Gd,Y,SBrkr,33.8821486922,183250432.0,0.0,41.4246303544,0.0,1.0,1.0,1.0,9.0,1.0,TA,8.0,Min2,1.0,Gd,Attchd,7403473349.0,Unf,1.0,281.0,TA,TA,Y,0.0,0.0,0.0,0.0,160.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,131000
1267,6859000.0,RM,7.74596669241,9.22226894284,Pave,,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,2fmCon,2.5Unf,343.0,64.0,6967871000.0,7414875000.0,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,791453125.0,925.0,GasA,TA,N,FuseF,31.0483493925,791453125.0,0.0,43.4626276242,0.0,1.0,1.0,1.0,16.0,4.0,TA,9.0,Typ,1.0,Gd,Detchd,7529536000.0,Unf,1.0,308.0,TA,TA,N,0.0,0.0,6.39846513756,0.0,0.0,0.0,,MnPrv,,0.0,1.0,8084294343.0,WD,Normal,122000
1366,216000.0,FV,,8.92265829952,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,343.0,125.0,8000000000.0,8000000000.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,533.0,Unf,0.0,22188041.0,814.0,GasA,Ex,Y,SBrkr,28.5306852354,636056000.0,0.0,40.914545091,1.0,1.0,4.0,1.0,9.0,1.0,Gd,7.0,Typ,0.0,,Attchd,8000000000.0,RFn,4.0,663.0,TA,TA,Y,0.0,4.57885697021,0.0,0.0,0.0,0.0,,,,0.0,1.0,8120601000.0,WD,Normal,216000
1405,125000.0,RL,7.74596669241,9.25052216161,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,27.0,64.0,7022735875.0,7414875000.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,303464448.0,672.0,GasA,TA,Y,SBrkr,26.3438797446,140608000.0,0.0,34.8425027804,0.0,1.0,1.0,0.0,9.0,1.0,TA,6.0,Typ,0.0,,Detchd,7976023992.0,Unf,9.0,936.0,TA,TA,Y,14.6969384567,0.0,5.42883523319,0.0,0.0,0.0,,MnPrv,,0.0,1.0,8072216216.0,WD,Family,105000
1101,27000.0,RL,7.74596669241,9.03598698483,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,27.0,125.0,7077888000.0,7414875000.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,TA,Fa,No,Rec,290.0,Unf,0.0,0.0,290.0,GasA,TA,N,FuseF,22.803508502,0.0,0.0,20.9284495365,0.0,1.0,1.0,0.0,1.0,1.0,Fa,3.0,Typ,0.0,,Detchd,7189057000.0,Unf,1.0,246.0,TA,TA,N,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,60000
1406,1728000.0,RM,6.63324958071,8.25374834333,Pave,,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,TwnhsE,1Story,512.0,125.0,8048096064.0,8060150125.0,Hip,CompShg,CemntBd,CmentBd,Stone,174.0,Gd,TA,PConc,Ex,TA,Gd,GLQ,1373.0,Unf,0.0,10793861.0,1594.0,GasA,Ex,Y,SBrkr,40.5709255502,0.0,0.0,40.5709255502,1.0,2.71828182846,4.0,0.0,4.0,1.0,Gd,5.0,Typ,1.0,Gd,Attchd,8048096064.0,Fin,4.0,482.0,TA,TA,Y,11.313708499,3.75628575422,0.0,0.0,155.0,0.0,,,,0.0,1.0,8096384512.0,WD,Normal,275000
1246,512000.0,RL,8.83176086633,9.40013394361,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SLvl,216.0,343.0,7809531904.0,8036054027.0,Hip,CompShg,VinylSd,VinylSd,BrkFace,74.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,200201625.0,585.0,GasA,Ex,Y,SBrkr,33.7638860323,385828352.0,0.0,43.2203655699,0.0,1.0,9.0,1.0,9.0,1.0,TA,7.0,Typ,1.0,TA,BuiltIn,7809531904.0,Fin,4.0,477.0,TA,TA,Y,16.3707055437,4.82028452835,0.0,0.0,147.0,0.0,,,,0.0,1.0,8084294343.0,WD,Abnorml,178000
945,8000.0,RL,,9.57324586567,Pave,,IR1,Lvl,NoSeWa,CulDSac,Gtl,Timber,Norm,Norm,1Fam,SLvl,216.0,216.0,7506509912.0,7506509912.0,Gable,CompShg,HdBoard,HdBoard,BrkFace,541.0,TA,TA,CBlock,TA,TA,No,GLQ,111.0,Rec,44361864.0,44361864.0,819.0,GasA,Gd,Y,FuseA,36.6606055596,0.0,0.0,36.6606055596,0.0,2.71828182846,1.0,0.0,9.0,1.0,Gd,7.0,Typ,1.0,Gd,Basment,7506509912.0,RFn,4.0,525.0,TA,TA,Y,0.0,4.90486813152,0.0,0.0,233.0,0.0,,,,0.0,1.0,8108486729.0,COD,Abnorml,137500
534,8000.0,RL,7.07106781187,8.51719319142,Pave,,Reg,Low,AllPub,Inside,Mod,BrkSide,Norm,Norm,1Fam,1Story,27.0,27.0,7369338536.0,7414875000.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Fa,Fa,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Fa,N,FuseF,22.803508502,0.0,0.0,18.2756668825,0.0,1.0,1.0,0.0,1.0,1.0,Fa,3.0,Typ,0.0,,,,,0.0,0.0,,,N,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,8084294343.0,WD,Normal,39300
804,216000.0,RL,10.3440804328,9.5389964274,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,729.0,125.0,8096384512.0,8108486729.0,Hip,CompShg,VinylSd,VinylSd,Stone,424.0,Ex,TA,PConc,Ex,TA,Gd,Unf,0.0,Unf,0.0,5213714904.0,1734.0,GasA,Ex,Y,SBrkr,41.6413256273,1287913472.0,0.0,53.1224999412,0.0,1.0,9.0,1.0,16.0,1.0,Ex,11.9374980927,Typ,1.0,Gd,BuiltIn,8108486729.0,RFn,9.0,1008.22037992,TA,TA,Y,7.21110255093,5.53965825675,0.0,0.0,192.0,0.0,,,,0.0,1.0,8108486729.0,New,Partial,582933
1223,125000.0,RL,8.83176086633,9.25874951118,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,216.0,216.0,7403473349.0,7414875000.0,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,320.0,TA,TA,CBlock,TA,TA,Mn,Rec,196.0,Unf,0.0,601211584.0,1040.0,GasA,Ex,Y,SBrkr,34.1760149813,311665752.0,0.0,42.9651021179,0.0,1.0,4.0,0.0,9.0,1.0,TA,7.0,Typ,1.0,Gd,Attchd,7403473349.0,Unf,1.0,315.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,GdWo,,0.0,1.0,8084294343.0,WD,Normal,143000
846,614125.0,RL,,9.71998529899,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,SFoyer,125.0,125.0,7703734375.0,7774159141.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,Gd,TA,Gd,ALQ,1390.0,Unf,0.0,0.0,1390.0,GasA,TA,Y,SBrkr,41.2431812546,0.0,0.0,41.2431812546,1.0,1.0,4.0,0.0,9.0,1.0,TA,6.0,Min2,1.25992104989,TA,Basment,7703734375.0,Fin,4.0,611.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,8084294343.0,WD,Normal,171000
281,216000.0,RL,9.05538513814,9.33140689996,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,343.0,216.0,7868724669.0,7868724669.0,Gable,CompShg,Plywood,Plywood,BrkFace,340.0,Gd,TA,CBlock,Gd,TA,Av,GLQ,421.0,Unf,0.0,57512456.0,807.0,GasA,Gd,Y,SBrkr,34.278273002,525557943.0,0.0,44.5196585791,0.0,1.0,4.0,1.0,9.0,1.0,Gd,7.0,Typ,1.0,TA,Attchd,7868724669.0,Fin,4.0,575.0,TA,TA,Y,0.0,4.37951913989,0.0,5.72107965754,0.0,0.0,,,,0.0,1.0,8084294343.0,WD,Normal,228500
833,216000.0,RL,6.63324958071,9.16408698746,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,343.0,216.0,8036054027.0,8036054027.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,223.0,Gd,TA,PConc,Gd,TA,No,GLQ,483.0,Unf,0.0,96071912.0,941.0,GasA,Ex,Y,SBrkr,30.6757233004,700227072.0,0.0,42.7668095607,1.0,1.0,4.0,1.0,9.0,1.0,Gd,7.0,Typ,1.0,TA,Attchd,8036054027.0,RFn,4.0,613.0,TA,TA,Y,13.8564064606,3.39121144301,0.0,0.0,0.0,0.0,,,,0.0,1.0,8120601000.0,WD,Normal,237000
151,8000.0,RL,10.9544511501,9.24532134087,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,125.0,216.0,7703734375.0,7703734375.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,TA,TA,Av,BLQ,716.0,Unf,0.0,16194277.0,969.0,GasA,TA,Y,SBrkr,31.1287648325,0.0,0.0,31.1287648325,0.0,1.0,1.0,1.0,9.0,1.0,TA,5.0,Typ,0.0,,Attchd,7703734375.0,Unf,4.0,440.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,MnPrv,,0.0,1.0,8084294343.0,WD,Normal,122000
1036,8000.0,RL,,9.35010231435,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,64.0,27.0,7495014493.0,7495014493.0,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Gd,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,Ex,N,SBrkr,29.0688837075,0.0,0.0,29.0688837075,0.0,1.0,1.0,0.0,9.0,1.0,TA,5.0,Typ,0.0,,Detchd,7495014493.0,Unf,1.0,290.0,TA,TA,N,13.638181697,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,84000
877,8000.0,RL,9.69535971483,10.1380061619,Pave,,Reg,HLS,AllPub,Inside,Mod,Mitchel,Norm,Norm,1Fam,1Story,64.0,125.0,7564163347.0,7564163347.0,Gable,CompShg,HdBoard,Plywood,None,0.0,TA,TA,PConc,TA,TA,Gd,ALQ,633.0,Unf,0.0,80062991.0,1064.0,GasA,Gd,Y,SBrkr,32.2490309932,0.0,0.0,32.2490309932,1.0,1.0,1.0,0.0,9.0,1.0,TA,5.0,Typ,0.0,,Attchd,7564163347.0,Unf,4.0,648.0,TA,TA,Y,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,8084294343.0,WD,Normal,132250
303,8000.0,RL,10.8627804912,9.52544304,Pave,,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,343.0,125.0,8012006001.0,8024024008.0,Gable,CompShg,VinylSd,VinylSd,BrkFace,150.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,3659383421.0,1541.0,GasA,Ex,Y,SBrkr,39.2555728528,0.0,0.0,39.2555728528,0.0,1.0,4.0,0.0,9.0,1.0,Gd,6.0,Typ,1.0,TA,Attchd,8012006001.0,RFn,9.0,843.0,TA,TA,Y,21.6333076528,4.32674871092,0.0,0.0,0.0,0.0,,,,0.0,1.0,8072216216.0,WD,Normal,205000
730,27000.0,RM,7.21110255093,8.73873546136,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,64.0,125.0,7133328125.0,7414875000.0,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,TA,TA,No,BLQ,152.0,Unf,0.0,247673152.0,780.0,GasA,TA,Y,FuseA,29.1204395571,0.0,6.53749961742,34.756294394,0.0,1.0,1.0,0.0,4.0,1.0,TA,5.0,Typ,0.0,,Detchd,7552609128.0,Unf,4.0,539.0,TA,TA,Y,0.0,2.84386697985,4.82028452835,0.0,0.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,103000
125,8000.0,RL,6.92820323028,9.74349484123,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NWAmes,Norm,Norm,1Fam,1Story,216.0,125.0,7750636739.0,7976023992.0,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,Gd,CBlock,Gd,Fa,No,Unf,0.0,Unf,0.0,2526569928.0,1362.0,GasA,TA,Y,SBrkr,39.8246155035,0.0,0.0,39.8246155035,0.0,1.0,4.0,0.0,9.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,7750636739.0,Unf,4.0,435.0,TA,TA,Y,13.8564064606,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,181000
659,125000.0,RL,8.83176086633,9.77012757379,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,216.0,125.0,7392083392.0,7414875000.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,758550528.0,912.0,GasA,TA,Y,SBrkr,30.1993377411,162771336.0,0.0,38.1837661841,0.0,2.71828182846,1.0,0.0,9.0,1.0,TA,6.0,Typ,1.0,Gd,Attchd,7392083392.0,Unf,1.0,330.0,TA,TA,Y,13.8564064606,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,8120601000.0,WD,Abnorml,97500
1317,8000.0,RL,7.81024967591,9.23268877564,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,512.0,125.0,8096384512.0,8096384512.0,Gable,CompShg,VinylSd,VinylSd,Stone,270.0,Gd,TA,PConc,Ex,TA,Gd,Unf,0.0,Unf,0.0,4267293848.0,1622.0,GasA,Ex,Y,SBrkr,40.3732584764,0.0,0.0,40.3732584764,1.0,1.0,4.0,0.0,9.0,1.0,Ex,8.0,Typ,1.0,Gd,Attchd,8096384512.0,RFn,9.0,860.0,TA,TA,Y,13.1148770486,3.47602664489,0.0,0.0,0.0,0.0,,,,0.0,1.0,8108486729.0,WD,Normal,295493
371,216000.0,RL,,9.00220857828,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,216.0,125.0,8000000000.0,8000000000.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,865523177.0,953.0,GasA,Ex,Y,SBrkr,30.8706980809,359425431.0,0.0,40.7921561087,0.0,1.0,4.0,1.0,9.0,1.0,TA,7.0,Typ,1.0,TA,Attchd,8000000000.0,RFn,4.0,460.0,TA,TA,Y,10.0,3.41995189335,0.0,0.0,0.0,0.0,,,,0.0,1.0,8072216216.0,WD,Normal,172400
665,8000.0,RL,7.0,9.94731303208,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,Somerst,RRAn,Norm,1Fam,1Story,512.0,125.0,8060150125.0,8072216216.0,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,Ex,TA,Mn,GLQ,1692.55233954,Unf,0.0,45118016.0,2077.0,GasA,Ex,Y,SBrkr,45.7930125674,0.0,0.0,45.7930125674,1.0,1.0,1.0,1.0,1.0,1.0,Ex,8.0,Typ,1.0,Ex,Attchd,8060150125.0,Fin,9.0,1094.47563687,TA,TA,Y,13.8564064606,6.43927669564,0.0,0.0,0.0,0.0,,,,0.0,1.0,8072216216.0,New,Partial,423000
