PassengerId,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived,Title
156,1 class,male,51.0,0,1,PC,61.3792,n,C,0,Mr
881,2 class,female,25.0,0,1,,26.0,n,S,1,Mrs
426,3 class,male,,0,0,A,7.25,n,S,0,Mr
102,3 class,male,,0,0,,7.8958,n,S,0,Mr
200,2 class,female,24.0,0,0,,13.0,n,S,0,Miss
425,3 class,male,18.0,1,1,,20.2125,n,S,0,Mr
299,1 class,male,,0,0,,30.5,C,S,1,Mr
885,3 class,male,25.0,0,0,SOTONOQ,7.05,n,S,0,Mr
248,2 class,female,24.0,0,2,,14.5,n,S,1,Mrs
479,3 class,male,22.0,0,0,,7.5208,n,S,0,Mr
306,1 class,male,0.92,1,2,,151.55,C,S,1,Master
317,2 class,female,24.0,1,0,,26.0,n,S,1,Mrs
3,3 class,female,26.0,0,0,STONO,7.925,n,S,1,Miss
406,2 class,male,34.0,1,0,,21.0,n,S,0,Mr
743,1 class,female,21.0,2,2,PC,262.375,B,C,1,Miss
261,3 class,male,,0,0,,7.75,n,Q,0,Mr
368,3 class,female,,0,0,,7.2292,n,C,1,Mrs
159,3 class,male,,0,0,,8.6625,n,S,0,Mr
555,3 class,female,22.0,0,0,,7.775,n,S,1,Miss
830,1 class,female,62.0,0,0,,80.0,B,,1,Mrs
678,3 class,female,18.0,0,0,,9.8417,n,S,1,Miss
381,1 class,female,42.0,0,0,PC,227.525,n,C,1,Miss
627,2 class,male,57.0,0,0,,12.35,n,Q,0,Rev
303,3 class,male,19.0,0,0,LINE,0.0,n,S,0,Mr
433,2 class,female,42.0,1,0,SCAH,26.0,n,S,1,Mrs
523,3 class,male,,0,0,,7.225,n,C,0,Mr
405,3 class,female,20.0,0,0,,8.6625,n,S,0,Miss
844,3 class,male,34.5,0,0,,6.4375,n,C,0,Mr
356,3 class,male,28.0,0,0,,9.5,n,S,0,Mr
465,3 class,male,,0,0,AS,8.05,n,S,0,Mr
754,3 class,male,23.0,0,0,,7.8958,n,S,0,Mr
213,3 class,male,22.0,0,0,A,7.25,n,S,0,Mr
450,1 class,male,52.0,0,0,,30.5,C,S,1,Major
80,3 class,female,30.0,0,0,,12.475,n,S,1,Miss
149,2 class,male,36.5,0,2,,26.0,F,S,0,Mr
429,3 class,male,,0,0,,7.75,n,Q,0,Mr
61,3 class,male,22.0,0,0,,7.2292,n,C,0,Mr
661,1 class,male,50.0,2,0,PC,133.65,n,S,1,Dr
805,3 class,male,27.0,0,0,,6.975,n,S,1,Mr
589,3 class,male,22.0,0,0,,8.05,n,S,0,Mr
766,1 class,female,51.0,1,0,,77.9583,D,S,1,Mrs
266,2 class,male,36.0,0,0,CA,10.5,n,S,0,Mr
134,2 class,female,29.0,1,0,,26.0,n,S,1,Mrs
709,1 class,female,22.0,0,0,,151.55,n,S,1,Miss
545,1 class,male,50.0,1,0,PC,106.425,C,C,0,Mr
347,2 class,female,40.0,0,0,,13.0,n,S,1,Miss
822,3 class,male,27.0,0,0,,8.6625,n,S,1,Mr
634,1 class,male,,0,0,,0.0,n,S,0,Mr
457,1 class,male,65.0,0,0,,26.55,E,S,0,Mr
501,3 class,male,17.0,0,0,,8.6625,n,S,0,Mr
431,1 class,male,28.0,0,0,,26.55,C,S,1,Mr
446,1 class,male,4.0,0,2,,81.8583,A,S,1,Master
651,3 class,male,,0,0,,7.8958,n,S,0,Mr
173,3 class,female,1.0,1,1,,11.1333,n,S,1,Miss
451,2 class,male,36.0,1,2,CA,27.75,n,S,0,Mr
315,2 class,male,43.0,1,1,FCC,26.25,n,S,0,Mr
333,1 class,male,38.0,0,1,PC,153.4625,C,S,0,Mr
802,2 class,female,31.0,1,1,CA,26.25,n,S,1,Mrs
91,3 class,male,29.0,0,0,,8.05,n,S,0,Mr
835,3 class,male,18.0,0,0,,8.3,n,S,0,Mr
182,2 class,male,,0,0,SCPARIS,15.05,n,C,0,Mr
582,1 class,female,39.0,1,1,,110.8833,C,C,1,Mrs
796,2 class,male,39.0,0,0,,13.0,n,S,0,Mr
70,3 class,male,26.0,2,0,,8.6625,n,S,0,Mr
132,3 class,male,20.0,0,0,SOTONOQ,7.05,n,S,0,Mr
335,1 class,female,,1,0,PC,133.65,n,S,1,Mrs
598,3 class,male,49.0,0,0,LINE,0.0,n,S,0,Mr
136,2 class,male,23.0,0,0,SCPARIS,15.0458,n,C,0,Mr
165,3 class,male,1.0,4,1,,39.6875,n,S,0,Master
29,3 class,female,,0,0,,7.8792,n,Q,1,Miss
784,3 class,male,,1,2,WC,23.45,n,S,0,Mr
194,2 class,male,3.0,1,1,,26.0,F,S,1,Master
870,3 class,male,4.0,1,1,,11.1333,n,S,1,Master
716,3 class,male,19.0,0,0,,7.65,F,S,0,Mr
526,3 class,male,40.5,0,0,,7.75,n,Q,0,Mr
382,3 class,female,1.0,0,2,,15.7417,n,C,1,Miss
141,3 class,female,,0,2,,15.2458,n,C,0,Mrs
174,3 class,male,21.0,0,0,STONO,7.925,n,S,0,Mr
7,1 class,male,54.0,0,0,,51.8625,E,S,0,Mr
719,3 class,male,,0,0,,15.5,n,Q,0,Mr
686,2 class,male,25.0,1,2,SCParis,41.5792,n,C,0,Mr
74,3 class,male,26.0,1,0,,14.4542,n,C,0,Mr
883,3 class,female,22.0,0,0,,10.5167,n,S,0,Miss
329,3 class,female,31.0,1,1,,20.525,n,S,1,Mrs
454,1 class,male,49.0,1,0,,89.1042,C,C,1,Mr
146,2 class,male,19.0,1,1,CA,36.75,n,S,0,Mr
235,2 class,male,24.0,0,0,CA,10.5,n,S,0,Mr
221,3 class,male,16.0,0,0,SOTONOQ,8.05,n,S,1,Mr
371,1 class,male,25.0,1,0,,55.4417,E,C,1,Mr
812,3 class,male,39.0,0,0,A,24.15,n,S,0,Mr
133,3 class,female,47.0,1,0,A,14.5,n,S,0,Mrs
695,1 class,male,60.0,0,0,,26.55,n,S,0,Col
865,2 class,male,24.0,0,0,,13.0,n,S,0,Mr
186,1 class,male,,0,0,,50.0,A,S,0,Mr
42,2 class,female,27.0,1,0,,21.0,n,S,0,Mrs
548,2 class,male,,0,0,SCPARIS,13.8625,n,C,1,Mr
109,3 class,male,38.0,0,0,,7.8958,n,S,0,Mr
604,3 class,male,44.0,0,0,,8.05,n,S,0,Mr
57,2 class,female,21.0,0,0,CA,10.5,n,S,1,Miss
395,3 class,female,24.0,0,2,PP,16.7,G,S,1,Mrs
707,2 class,female,45.0,0,0,,13.5,n,S,1,Mrs
550,2 class,male,8.0,1,1,CA,36.75,n,S,1,Master
25,3 class,female,8.0,3,1,,21.075,n,S,0,Miss
352,1 class,male,,0,0,,35.0,C,S,0,Mr
430,3 class,male,32.0,0,0,SOTONOQ,8.05,E,S,1,Mr
435,1 class,male,50.0,1,0,,55.9,E,S,0,Mr
52,3 class,male,21.0,0,0,A,7.8,n,S,0,Mr
527,2 class,female,50.0,0,0,WC,10.5,n,S,1,Miss
817,3 class,female,23.0,0,0,STONO,7.925,n,S,0,Miss
570,3 class,male,32.0,0,0,,7.8542,n,S,1,Mr
265,3 class,female,,0,0,,7.75,n,Q,0,Miss
437,3 class,female,21.0,2,2,WC,34.375,n,S,0,Miss
614,3 class,male,,0,0,,7.75,n,Q,0,Mr
694,3 class,male,25.0,0,0,,7.225,n,C,0,Mr
353,3 class,male,15.0,1,1,,7.2292,n,C,0,Mr
19,3 class,female,31.0,1,0,,18.0,n,S,0,Mrs
667,2 class,male,25.0,0,0,,13.0,n,S,0,Mr
583,2 class,male,54.0,0,0,,26.0,n,S,0,Mr
84,1 class,male,28.0,0,0,,47.1,n,S,0,Mr
62,1 class,female,38.0,0,0,,80.0,B,,1,Miss
273,2 class,female,41.0,0,1,,19.5,n,S,1,Mrs
286,3 class,male,33.0,0,0,,8.6625,n,C,0,Mr
696,2 class,male,52.0,0,0,,13.5,n,S,0,Mr
747,3 class,male,16.0,1,1,CA,20.25,n,S,0,Mr
13,3 class,male,20.0,0,0,A,8.05,n,S,0,Mr
183,3 class,male,9.0,4,2,,31.3875,n,S,0,Master
445,3 class,male,,0,0,,8.1125,n,S,1,Mr
553,3 class,male,,0,0,,7.8292,n,Q,0,Mr
224,3 class,male,,0,0,,7.8958,n,S,0,Mr
514,1 class,female,54.0,1,0,PC,59.4,n,C,1,Mrs
629,3 class,male,26.0,0,0,,7.8958,n,S,0,Mr
588,1 class,male,60.0,1,1,,79.2,B,C,1,Mr
693,3 class,male,,0,0,,56.4958,n,S,1,Mr
524,1 class,female,44.0,0,1,,57.9792,B,C,1,Mrs
665,3 class,male,20.0,1,0,STONO,7.925,n,S,1,Mr
177,3 class,male,,3,1,,25.4667,n,S,0,Master
842,2 class,male,16.0,0,0,SOPP,10.5,n,S,0,Mr
679,3 class,female,43.0,1,6,CA,46.9,n,S,0,Mrs
164,3 class,male,17.0,0,0,,8.6625,n,S,0,Mr
249,1 class,male,37.0,1,1,,52.5542,D,S,1,Mr
571,2 class,male,62.0,0,0,SWPP,10.5,n,S,1,Mr
788,3 class,male,8.0,4,1,,29.125,n,Q,0,Master
75,3 class,male,32.0,0,0,,56.4958,n,S,1,Mr
114,3 class,female,20.0,1,0,,9.825,n,S,0,Miss
636,2 class,female,28.0,0,0,,13.0,n,S,1,Miss
502,3 class,female,21.0,0,0,,7.75,n,Q,0,Miss
105,3 class,male,37.0,2,0,,7.925,n,S,0,Mr
115,3 class,female,17.0,0,0,,14.4583,n,C,0,Miss
369,3 class,female,,0,0,,7.75,n,Q,1,Miss
93,1 class,male,46.0,1,0,WEP,61.175,E,S,0,Mr
498,3 class,male,,0,0,CA,15.1,n,S,0,Mr
90,3 class,male,24.0,0,0,,8.05,n,S,0,Mr
337,1 class,male,29.0,1,0,,66.6,C,S,0,Mr
880,1 class,female,56.0,0,1,,83.1583,C,C,1,Mrs
818,2 class,male,31.0,1,1,SCPARIS,37.0042,n,C,0,Mr
829,3 class,male,,0,0,,7.75,n,Q,1,Mr
544,2 class,male,32.0,1,0,,26.0,n,S,1,Mr
549,3 class,male,33.0,1,1,,20.525,n,S,0,Mr
95,3 class,male,59.0,0,0,,7.25,n,S,0,Mr
12,1 class,female,58.0,0,0,,26.55,C,S,1,Miss
432,3 class,female,,1,0,,16.1,n,S,1,Mrs
44,2 class,female,3.0,1,2,SCParis,41.5792,n,C,1,Miss
43,3 class,male,,0,0,,7.8958,n,C,0,Mr
330,1 class,female,16.0,0,1,,57.9792,B,C,1,Miss
168,3 class,female,45.0,1,4,,27.9,n,S,0,Mrs
780,1 class,female,43.0,0,1,,211.3375,B,S,1,Mrs
538,1 class,female,30.0,0,0,PC,106.425,n,C,1,Miss
736,3 class,male,28.5,0,0,,16.1,n,S,0,Mr
500,3 class,male,24.0,0,0,,7.7958,n,S,0,Mr
179,2 class,male,30.0,0,0,,13.0,n,S,0,Mr
584,1 class,male,36.0,0,0,,40.125,A,C,0,Mr
785,3 class,male,25.0,0,0,SOTONOQ,7.05,n,S,0,Mr
594,3 class,female,,0,2,,7.75,n,Q,0,Miss
178,1 class,female,50.0,0,0,PC,28.7125,C,C,0,Miss
645,3 class,female,0.75,2,1,,19.2583,n,C,1,Miss
711,1 class,female,24.0,0,0,PC,49.5042,C,C,1,Mlle
616,2 class,female,24.0,1,2,,65.0,n,S,1,Miss
384,1 class,female,35.0,1,0,,52.0,n,S,1,Mrs
258,1 class,female,30.0,0,0,,86.5,B,S,1,Miss
735,2 class,male,23.0,0,0,,13.0,n,S,0,Mr
336,3 class,male,,0,0,,7.8958,n,S,0,Mr
552,2 class,male,27.0,0,0,,26.0,n,S,0,Mr
16,2 class,female,55.0,0,0,,16.0,n,S,1,Mrs
4,1 class,female,35.0,1,0,,53.1,C,S,1,Mrs
412,3 class,male,,0,0,,6.8583,n,Q,0,Mr
257,1 class,female,,0,0,PC,79.2,n,C,1,Mrs
452,3 class,male,,1,0,,19.9667,n,S,0,Mr
474,2 class,female,23.0,0,0,SCAHBasle,13.7917,D,C,1,Mrs
698,3 class,female,,0,0,,7.7333,n,Q,1,Miss
394,1 class,female,23.0,1,0,,113.275,D,C,1,Miss
223,3 class,male,51.0,0,0,,8.05,n,S,0,Mr
507,2 class,female,33.0,0,2,,26.0,n,S,1,Mrs
568,3 class,female,29.0,0,4,,21.075,n,S,0,Mrs
421,3 class,male,,0,0,,7.8958,n,C,0,Mr
325,3 class,male,,8,2,CA,69.55,n,S,0,Mr
531,2 class,female,2.0,1,1,,26.0,n,S,1,Miss
10,2 class,female,14.0,1,0,,30.0708,n,C,1,Mrs
250,2 class,male,54.0,1,0,,26.0,n,S,0,Rev
23,3 class,female,15.0,0,0,,8.0292,n,Q,1,Miss
357,1 class,female,22.0,0,1,,55.0,E,S,1,Miss
222,2 class,male,27.0,0,0,,13.0,n,S,0,Mr
602,3 class,male,,0,0,,7.8958,n,S,0,Mr
767,1 class,male,,0,0,,39.6,n,C,0,Dr
875,2 class,female,28.0,1,0,PPP,24.0,n,C,1,Mrs
529,3 class,male,39.0,0,0,,7.925,n,S,0,Mr
341,2 class,male,2.0,1,1,,26.0,F,S,1,Master
744,3 class,male,24.0,1,0,,16.1,n,S,0,Mr
520,3 class,male,32.0,0,0,,7.8958,n,S,0,Mr
204,3 class,male,45.5,0,0,,7.225,n,C,0,Mr
238,2 class,female,8.0,0,2,CA,26.25,n,S,1,Miss
94,3 class,male,26.0,1,2,CA,20.575,n,S,0,Mr
731,1 class,female,29.0,0,0,,211.3375,B,S,1,Miss
441,2 class,female,45.0,1,1,FCC,26.25,n,S,1,Mrs
560,3 class,female,36.0,1,0,,17.4,n,S,1,Mrs
285,1 class,male,,0,0,,26.0,A,S,0,Mr
185,3 class,female,4.0,0,2,,22.025,n,S,1,Miss
792,2 class,male,16.0,0,0,,26.0,n,S,0,Mr
488,1 class,male,58.0,0,0,,29.7,B,C,0,Mr
154,3 class,male,40.5,0,2,A,14.5,n,S,0,Mr
76,3 class,male,25.0,0,0,,7.65,F,S,0,Mr
657,3 class,male,,0,0,,7.8958,n,S,0,Mr
632,3 class,male,51.0,0,0,,7.0542,n,S,0,Mr
278,2 class,male,,0,0,,0.0,n,S,0,Mr
69,3 class,female,17.0,4,2,,7.925,n,S,1,Miss
826,3 class,male,,0,0,,6.95,n,Q,0,Mr
189,3 class,male,40.0,1,1,,15.5,n,Q,0,Mr
272,3 class,male,25.0,0,0,LINE,0.0,n,S,1,Mr
663,1 class,male,47.0,0,0,,25.5875,E,S,0,Mr
712,1 class,male,,0,0,,26.55,C,S,0,Mr
237,2 class,male,44.0,1,0,,26.0,n,S,0,Mr
89,1 class,female,23.0,3,2,,263.0,C,S,1,Miss
758,2 class,male,18.0,0,0,,11.5,n,S,0,Mr
118,2 class,male,29.0,1,0,,21.0,n,S,0,Mr
126,3 class,male,12.0,1,0,,11.2417,n,C,1,Master
732,3 class,male,11.0,0,0,,18.7875,n,C,0,Mr
290,3 class,female,22.0,0,0,,7.75,n,Q,1,Miss
239,2 class,male,19.0,0,0,,10.5,n,S,0,Mr
1,3 class,male,22.0,1,0,A,7.25,n,S,0,Mr
882,3 class,male,33.0,0,0,,7.8958,n,S,0,Mr
468,1 class,male,56.0,0,0,,26.55,n,S,0,Mr
828,2 class,male,1.0,0,2,SCPARIS,37.0042,n,C,1,Master
396,3 class,male,22.0,0,0,,7.7958,n,S,0,Mr
532,3 class,male,,0,0,,7.2292,n,C,0,Mr
127,3 class,male,,0,0,,7.75,n,Q,0,Mr
279,3 class,male,7.0,4,1,,29.125,n,Q,0,Master
692,3 class,female,4.0,0,1,,13.4167,n,C,1,Miss
117,3 class,male,70.5,0,0,,7.75,n,Q,0,Mr
229,2 class,male,18.0,0,0,,13.0,n,S,0,Mr
623,3 class,male,20.0,1,1,,15.7417,n,C,1,Mr
656,2 class,male,24.0,2,0,SOC,73.5,n,S,0,Mr
599,3 class,male,,0,0,,7.225,n,C,0,Mr
517,2 class,female,34.0,0,0,CA,10.5,F,S,1,Mrs
275,3 class,female,,0,0,,7.75,n,Q,1,Miss
319,1 class,female,31.0,0,2,,164.8667,C,S,1,Miss
607,3 class,male,30.0,0,0,,7.8958,n,S,0,Mr
145,2 class,male,18.0,0,0,,11.5,n,S,0,Mr
635,3 class,female,9.0,3,2,,27.9,n,S,0,Miss
559,1 class,female,39.0,1,1,,79.65,E,S,1,Mrs
810,1 class,female,33.0,1,0,,53.1,E,S,1,Mrs
746,1 class,male,70.0,1,1,WEP,71.0,B,S,0,Capt
370,1 class,female,24.0,0,0,PC,69.3,B,C,1,Mme
269,1 class,female,58.0,0,1,PC,153.4625,C,S,1,Mrs
624,3 class,male,21.0,0,0,,7.8542,n,S,0,Mr
308,1 class,female,17.0,1,0,PC,108.9,C,C,1,Mrs
424,3 class,female,28.0,1,1,,14.4,n,S,0,Mrs
311,1 class,female,24.0,0,0,,83.1583,C,C,1,Miss
355,3 class,male,,0,0,,7.225,n,C,0,Mr
47,3 class,male,,1,0,,15.5,n,Q,0,Mr
350,3 class,male,42.0,0,0,,8.6625,n,S,0,Mr
372,3 class,male,18.0,1,0,,6.4958,n,S,0,Mr
480,3 class,female,2.0,0,1,,12.2875,n,S,1,Miss
577,2 class,female,34.0,0,0,,13.0,n,S,1,Miss
262,3 class,male,3.0,4,2,,31.3875,n,S,1,Master
196,1 class,female,58.0,0,0,PC,146.5208,B,C,1,Miss
891,3 class,male,32.0,0,0,,7.75,n,Q,0,Mr
745,3 class,male,31.0,0,0,STONO,7.925,n,S,1,Mr
108,3 class,male,,0,0,,7.775,n,S,1,Mr
867,2 class,female,27.0,1,0,SCPARIS,13.8583,n,C,1,Miss
60,3 class,male,11.0,5,2,CA,46.9,n,S,0,Master
659,2 class,male,23.0,0,0,,13.0,n,S,0,Mr
264,1 class,male,40.0,0,0,,0.0,B,S,0,Mr
569,3 class,male,,0,0,,7.2292,n,C,0,Mr
101,3 class,female,28.0,0,0,,7.8958,n,S,0,Miss
444,2 class,female,28.0,0,0,,13.0,n,S,1,Ms
491,3 class,male,,1,0,,19.9667,n,S,0,Mr
688,3 class,male,19.0,0,0,,10.1708,n,S,0,Mr
800,3 class,female,30.0,1,1,,24.15,n,S,0,Mrs
641,3 class,male,20.0,0,0,,7.8542,n,S,0,Mr
170,3 class,male,28.0,0,0,,56.4958,n,S,0,Mr
180,3 class,male,36.0,0,0,LINE,0.0,n,S,0,Mr
305,3 class,male,,0,0,A,8.05,n,S,0,Mr
342,1 class,female,24.0,3,2,,263.0,C,S,1,Miss
58,3 class,male,28.5,0,0,,7.2292,n,C,0,Mr
859,3 class,female,24.0,0,3,,19.2583,n,C,1,Mrs
150,2 class,male,42.0,0,0,,13.0,n,S,0,Rev
125,1 class,male,54.0,0,1,,77.2875,D,S,0,Mr
704,3 class,male,25.0,0,0,,7.7417,n,Q,0,Mr
51,3 class,male,7.0,4,1,,39.6875,n,S,0,Master
354,3 class,male,25.0,1,0,,17.8,n,S,0,Mr
824,3 class,female,27.0,0,1,,12.475,E,S,1,Mrs
143,3 class,female,24.0,1,0,STONO,15.85,n,S,1,Mrs
471,3 class,male,,0,0,,7.25,n,S,0,Mr
400,2 class,female,28.0,0,0,,12.65,n,S,1,Mrs
576,3 class,male,19.0,0,0,,14.5,n,S,0,Mr
321,3 class,male,22.0,0,0,A,7.25,n,S,0,Mr
20,3 class,female,,0,0,,7.225,n,C,1,Mrs
793,3 class,female,,8,2,CA,69.55,n,S,0,Miss
708,1 class,male,42.0,0,0,PC,26.2875,E,S,1,Mr
724,2 class,male,50.0,0,0,,13.0,n,S,0,Mr
408,2 class,male,3.0,1,1,,18.75,n,S,1,Master
558,1 class,male,,0,0,PC,227.525,n,C,0,Mr
39,3 class,female,18.0,2,0,,18.0,n,S,0,Miss
176,3 class,male,18.0,1,1,,7.8542,n,S,0,Mr
246,1 class,male,44.0,2,0,,90.0,C,Q,0,Dr
741,1 class,male,,0,0,,30.0,D,S,1,Mr
603,1 class,male,,0,0,,42.4,n,S,0,Mr
769,3 class,male,,1,0,,24.15,n,Q,0,Mr
765,3 class,male,16.0,0,0,,7.775,n,S,0,Mr
155,3 class,male,,0,0,Fa,7.3125,n,S,0,Mr
288,3 class,male,22.0,0,0,,7.8958,n,S,0,Mr
751,2 class,female,4.0,1,1,,23.0,n,S,1,Miss
18,2 class,male,,0,0,,13.0,n,S,1,Mr
128,3 class,male,24.0,0,0,C,7.1417,n,S,1,Mr
323,2 class,female,30.0,0,0,,12.35,n,Q,1,Miss
256,3 class,female,29.0,0,2,,15.2458,n,C,1,Mrs
771,3 class,male,24.0,0,0,,9.5,n,S,0,Mr
857,1 class,female,45.0,1,1,,164.8667,n,S,1,Mrs
191,2 class,female,32.0,0,0,,13.0,n,S,1,Mrs
116,3 class,male,21.0,0,0,STONO,7.925,n,S,0,Mr
738,1 class,male,35.0,0,0,PC,512.3292,B,C,1,Mr
181,3 class,female,,8,2,CA,69.55,n,S,0,Miss
302,3 class,male,,2,0,,23.25,n,Q,1,Mr
680,1 class,male,36.0,0,1,PC,512.3292,B,C,1,Mr
639,3 class,female,41.0,0,5,,39.6875,n,S,0,Mrs
650,3 class,female,23.0,0,0,CA,7.55,n,S,1,Miss
617,3 class,male,34.0,1,1,,14.4,n,S,0,Mr
597,2 class,female,,0,0,,33.0,n,S,1,Miss
518,3 class,male,,0,0,,24.15,n,Q,0,Mr
876,3 class,female,15.0,0,0,,7.225,n,C,1,Miss
46,3 class,male,,0,0,SCA,8.05,n,S,0,Mr
808,3 class,female,18.0,0,0,,7.775,n,S,0,Miss
158,3 class,male,30.0,0,0,SOTONOQ,8.05,n,S,0,Mr
666,2 class,male,32.0,2,0,SOC,73.5,n,S,0,Mr
172,3 class,male,4.0,4,1,,29.125,n,Q,0,Master
17,3 class,male,2.0,4,1,,29.125,n,Q,0,Master
512,3 class,male,,0,0,SOTONOQ,8.05,n,S,0,Mr
49,3 class,male,,2,0,,21.6792,n,C,0,Mr
863,1 class,female,48.0,0,0,,25.9292,D,S,1,Mrs
750,3 class,male,31.0,0,0,,7.75,n,Q,0,Mr
516,1 class,male,47.0,0,0,,34.0208,D,S,0,Mr
618,3 class,female,26.0,1,0,A,16.1,n,S,0,Mrs
481,3 class,male,9.0,5,2,CA,46.9,n,S,0,Master
284,3 class,male,19.0,0,0,A,8.05,n,S,1,Mr
590,3 class,male,,0,0,A,8.05,n,S,0,Mr
226,3 class,male,22.0,0,0,PP,9.35,n,S,0,Mr
27,3 class,male,,0,0,,7.225,n,C,0,Mr
849,2 class,male,28.0,0,1,,33.0,n,S,0,Rev
438,2 class,female,24.0,2,3,,18.75,n,S,1,Mrs
845,3 class,male,17.0,0,0,,8.6625,n,S,0,Mr
365,3 class,male,,1,0,,15.5,n,Q,0,Mr
230,3 class,female,,3,1,,25.4667,n,S,0,Miss
38,3 class,male,21.0,0,0,A,8.05,n,S,0,Mr
858,1 class,male,51.0,0,0,,26.55,E,S,1,Mr
375,3 class,female,3.0,3,1,,21.075,n,S,0,Miss
470,3 class,female,0.75,2,1,,19.2583,n,C,1,Miss
860,3 class,male,,0,0,,7.2292,n,C,0,Mr
759,3 class,male,34.0,0,0,,8.05,n,S,0,Mr
652,2 class,female,18.0,0,1,,23.0,n,S,1,Miss
195,1 class,female,44.0,0,0,PC,27.7208,B,C,1,Mrs
761,3 class,male,,0,0,,14.5,n,S,0,Mr
869,3 class,male,,0,0,,9.5,n,S,0,Mr
504,3 class,female,37.0,0,0,,9.5875,n,S,0,Miss
862,2 class,male,21.0,1,0,,11.5,n,S,0,Mr
742,1 class,male,36.0,1,0,,78.85,C,S,0,Mr
580,3 class,male,32.0,0,0,STONO,7.925,n,S,1,Mr
889,3 class,female,,1,2,WC,23.45,n,S,0,Miss
163,3 class,male,26.0,0,0,,7.775,n,S,0,Mr
631,1 class,male,80.0,0,0,,30.0,A,S,1,Mr
153,3 class,male,55.5,0,0,A,8.05,n,S,0,Mr
685,2 class,male,60.0,1,1,,39.0,n,S,0,Mr
630,3 class,male,,0,0,,7.7333,n,Q,0,Mr
676,3 class,male,18.0,0,0,,7.775,n,S,0,Mr
112,3 class,female,14.5,1,0,,14.4542,n,C,0,Miss
227,2 class,male,19.0,0,0,SWPP,10.5,n,S,1,Mr
619,2 class,female,4.0,2,1,,39.0,F,S,1,Miss
104,3 class,male,33.0,0,0,,8.6542,n,S,0,Mr
422,3 class,male,21.0,0,0,A,7.7333,n,Q,0,Mr
420,3 class,female,10.0,0,2,,24.15,n,S,0,Miss
587,2 class,male,47.0,0,0,,15.0,n,S,0,Mr
120,3 class,female,2.0,4,2,,31.275,n,S,0,Miss
54,2 class,female,29.0,1,0,,26.0,n,S,1,Mrs
152,1 class,female,22.0,1,0,,66.6,C,S,1,Mrs
404,3 class,male,28.0,1,0,STONO,15.85,n,S,0,Mr
840,1 class,male,,0,0,,29.7,C,C,1,Mr
208,3 class,male,26.0,0,0,,18.7875,n,C,1,Mr
753,3 class,male,33.0,0,0,,9.5,n,S,0,Mr
718,2 class,female,27.0,0,0,,10.5,E,S,1,Miss
9,3 class,female,27.0,0,2,,11.1333,n,S,1,Mrs
723,2 class,male,34.0,0,0,,13.0,n,S,0,Mr
37,3 class,male,,0,0,,7.2292,n,C,1,Mr
453,1 class,male,30.0,0,0,,27.75,C,C,0,Mr
